,ts_code,symbol,name,area,industry
0,000001.SZ,000001,平安银行,深圳,银行
1,000002.SZ,000002,万科A,深圳,全国地产
2,000004.SZ,000004,ST国华,深圳,软件服务
3,000005.SZ,000005,ST星源,深圳,环境保护
4,000006.SZ,000006,深振业A,深圳,区域地产
5,000007.SZ,000007,全新好,深圳,酒店餐饮
6,000008.SZ,000008,神州高铁,北京,运输设备
7,000009.SZ,000009,中国宝安,深圳,电气设备
8,000010.SZ,000010,美丽生态,深圳,建筑工程
9,000011.SZ,000011,深物业A,深圳,区域地产
10,000012.SZ,000012,南玻A,深圳,玻璃
11,000014.SZ,000014,沙河股份,深圳,全国地产
12,000016.SZ,000016,深康佳A,深圳,家用电器
13,000017.SZ,000017,深中华A,深圳,服饰
14,000019.SZ,000019,深粮控股,深圳,农业综合
15,000020.SZ,000020,深华发A,深圳,元器件
16,000021.SZ,000021,深科技,深圳,IT设备
17,000023.SZ,000023,深天地A,深圳,水泥
18,000025.SZ,000025,特力A,深圳,汽车服务
19,000026.SZ,000026,飞亚达,深圳,其他商业
20,000027.SZ,000027,深圳能源,深圳,火力发电
21,000028.SZ,000028,国药一致,深圳,医药商业
22,000029.SZ,000029,深深房A,深圳,区域地产
23,000030.SZ,000030,富奥股份,吉林,汽车配件
24,000031.SZ,000031,大悦城,深圳,全国地产
25,000032.SZ,000032,深桑达A,深圳,元器件
26,000034.SZ,000034,神州数码,深圳,综合类
27,000035.SZ,000035,中国天楹,江苏,环境保护
28,000036.SZ,000036,华联控股,深圳,全国地产
29,000037.SZ,000037,深南电A,深圳,火力发电
30,000038.SZ,000038,*ST大通,深圳,综合类
31,000039.SZ,000039,中集集团,深圳,运输设备
32,000040.SZ,000040,东旭蓝天,深圳,新型电力
33,000042.SZ,000042,中洲控股,深圳,全国地产
34,000045.SZ,000045,深纺织A,深圳,元器件
35,000046.SZ,000046,泛海控股,北京,多元金融
36,000048.SZ,000048,京基智农,深圳,区域地产
37,000049.SZ,000049,德赛电池,深圳,电气设备
38,000050.SZ,000050,深天马A,深圳,元器件
39,000055.SZ,000055,方大集团,深圳,装修装饰
40,000056.SZ,000056,皇庭国际,深圳,房产服务
41,000058.SZ,000058,深赛格,深圳,商品城
42,000059.SZ,000059,华锦股份,辽宁,石油加工
43,000060.SZ,000060,中金岭南,深圳,铅锌
44,000061.SZ,000061,农产品,深圳,农业综合
45,000062.SZ,000062,深圳华强,深圳,批发业
46,000063.SZ,000063,中兴通讯,深圳,通信设备
47,000065.SZ,000065,北方国际,北京,建筑工程
48,000066.SZ,000066,中国长城,深圳,IT设备
49,000068.SZ,000068,华控赛格,深圳,环境保护
50,000069.SZ,000069,华侨城A,深圳,旅游景点
51,000070.SZ,000070,特发信息,深圳,通信设备
52,000078.SZ,000078,海王生物,深圳,医药商业
53,000088.SZ,000088,盐田港,深圳,港口
54,000089.SZ,000089,深圳机场,深圳,机场
55,000090.SZ,000090,天健集团,深圳,建筑工程
56,000096.SZ,000096,广聚能源,深圳,石油贸易
57,000099.SZ,000099,中信海直,深圳,空运
58,000100.SZ,000100,TCL科技,广东,元器件
59,000150.SZ,000150,*ST宜康,广东,生物制药
60,000151.SZ,000151,中成股份,北京,商贸代理
61,000153.SZ,000153,丰原药业,安徽,化学制药
62,000155.SZ,000155,川能动力,四川,新型电力
63,000156.SZ,000156,华数传媒,浙江,影视音像
64,000157.SZ,000157,中联重科,湖南,工程机械
65,000158.SZ,000158,常山北明,河北,软件服务
66,000159.SZ,000159,国际实业,新疆,石油贸易
67,000166.SZ,000166,申万宏源,新疆,证券
68,000301.SZ,000301,东方盛虹,江苏,化纤
69,000333.SZ,000333,美的集团,广东,家用电器
70,000338.SZ,000338,潍柴动力,山东,汽车配件
71,000400.SZ,000400,许继电气,河南,电气设备
72,000401.SZ,000401,冀东水泥,河北,水泥
73,000402.SZ,000402,金融街,北京,全国地产
74,000403.SZ,000403,派林生物,山西,生物制药
